paragraph,label
"Once the casting solutions homogeneous, they were subsequently stored at room temperature for at least 1 day to remove some air bubbles. Then, the polymer solution was cast on a glass plate with a thickness of 300 mm. After casting, the film was immediately immersed in a water bath to permit the exchange of solvent and water, and to form the membrane. The water bath was changed at least twice. After 24 h, the membrane was dried in air at room temperature, and stored in a cool dry place for subsequent membrane characterizations.",n
*Simulation of phase diagrams,n
Simulation of phase diagrams,n
"The phase diagrams of PSf/2P/water, PSf/NMP/water, PSf/DMAc/water systems were constructed using Compaq Visual Fortran 6.6 based on the Flory-Huggins theory. Using this software, the binodal and spinodal lines of these systems can be established which are essential in understanding their thermodynamics stability. Details of this simulation can be found from the previous work of Lai et al. [68].*Cloud point determination",n
Cloud point determination,n
"Cloud point measurements of PSf/2P/water, PSf/NMP/water, PSf/DMAc/water were determined at 60 degC wherein water was added dropwise into the homogeneous casting solutions. Local phase separation ensues upon the addition of water, but continuous stirring disrupts it, allowing uniform distribution of the non-solvent in the solution. As more water is added into the system, the cloudy state persists. Using the known concentrations of the ternary system, the composition paths can be determined on the phase diagram.*Kinetics of mass transfer during membrane formation",n
Kinetics of mass transfer during membrane formation,n
"The entailing kinetics of the phase-inversion process were observed and quantified using an optical microscope (Olympus BHT-M-113D). A drop of the casting solution was placed in between two glass slides with a 15 mm Teflon spacer. Next, a drop of water was introduced through the gap to induce phase separation. The microscope is connected to a computer that permits the recording of the phase-inversion process. The captured images were analyzed using an imaging software (Optimas 5.1, Bioscan) to measure the diffusion coefficients.",n
*Surface and cross-section morphology determination,n
Surface and cross-section morphology determination,n
"The surface and cross-section morphologies of the membranes were characterized using a Field emission-scanning electron microscope (FE-SEM, Hitachi S-4000 instrument). For the membranes' cross-section, the membranes were cut while being immersed in liquid nitrogen. The membranes were laid on an electrically conductive adhesive carbon tape placed on a stainless-steel SEM holder, and vacuumed dried overnight to remove excess moisture. Prior to loading the samples in the SEM chamber, electrical conductivity of the samples was increased by sputtering platinum on the surface for 100 s. The FE-SEM analysis were conducted under an accelerating voltage of 15 keV.*Porosity and pore size evaluation",n
Porosity and pore size evaluation,n
"The porosity of the membranes was evaluated on membrane samples with a diameter of 1.2 cm. The weight of the dry membranes was first recorded before immersing them in n-butanol, which was used as the wetting liquid. After 24 h of immersion, the membranes were dabbed with a soft tissue to remove the superficial alcohol, and then weighed. Equation (1) [69,70] was then used to determine the porosity of the samples, where W2 and W1 denote the weight of the immersed membrane and of the dry membrane, respectively. r1 is the density of PSf (1.24 g/cm3), and r2 is the density of n-butanol (0.81 g/cm3). 5 independent samples were tested.(1)porosity=(W2-W1)r1r1W2+(r2-r1)W1*100%",n
"The pore size of the pristine and modified polysulfone membranes were measured using a capillary flow porometer (CFP-1500-AXLE, PMI Porous Materials, Inc). Prior to testing, 1.2 cm membranes were impregnated with isopropanol (IPA, g = 20.7 Dyne) to fill up the pores overnight. Next, the sample was loaded into the porometer metallic casing casting which was then tightly sealed. The IPA was displaced by the inert N2 gas at increasing pressures, and the pore size of the membrane was measured using the bubble point method.",n
"The mechanical strength of the membranes was evaluated using Instron 544 instrument. Sample having a dimension of 8 cm x 1 cm was loaded between the instrument's clamps which were automatically and gradually pulled apart, starting from an initial distance of 6 cm. The elongation velocity at which the clamps were separated was maintained at 10 mm/min. Stress-strain behavior was automatically measured and the procedure comes to a halt once the sample breaks.",n
"Membrane water permeability was determined in a dead-end mode using a stirred cell from Amicon(r). A membrane of 13.4 cm2 surface area was placed in the filtration module and was secured with an O-ring. The cell was then filled with 50 mL of DI water and was connected to an nitrogen tank pressure reservoir. An overpressure of 1.5 bar was applied to the system for membrane pore compaction step. Then, the pressure was decreased to 1 bar, and the weight of the water permeate was monitored using an analytical balance (Mettler Toledo) connected to a computer.",n
"The nature of the solvent plays a pertinent role in the morphology of the membranes [71]. For many years, Hansen's solubility parameters have been used as a guide in understanding the solubility of the polymer in a particular solvent. In this study, we have used equation (2a) to determine the solubility of PSf polymer in different solvents:(2a)dS-P= [(dD,S- dD,P)2 + (dP,S- dP,P)2 + (dH,S- dH,P)2]0.5Where dD, dP, and dH pertain to the van der Waals or dispersion, polar, and hydrogen bonding forces, respectively. The suffix S and P refer to solvent and polymer. Parameters for different PSf/solvent systems are provided in Table 2. From this, it can be inferred that out of the 3 solvents, PSf has the highest affinity towards DMF, followed by NMP, DMAc and 2P.",n
"Among the different mathematical models used to describe the thermodynamics of ternary systems, Flory-Huggins theory is the most sought after due to its relatively simple mathematical model and good accuracy of the phase behavior [72,73]. It is important to note that by constructing the ternary thermodynamics phase diagram of the phase-inversion process, we can get an insight into the composition paths of the demixed system. The Flory-Huggins interaction parameters (Table 3) of the systems can be estimated using the solubility parameters from Table 2, and their relationship can be transcribed to equation (3a) [73]:(3a)khi3=V1RT(d1-d2)2i=1,2where khi3 is the Flory-Huggins interaction parameter, V1 is the pure molar volume for component 1, and d1 is the solubility parameter for component i. Later, Hansen introduced a correction factor, a:(4)khi3=aV1RT[(d1,d-d2,d)2+0.25(d1,p-d2,p)2+0.25(d1,h-d2,h)2i=1,2",n
"Fig. 2 illustrates the ternary diagrams of (a) PSf/NMP//water and (b) PSf/2P/water. The binary interaction parameters (kh) such as PSf-2P, PSf-water, and 2P-water used in this study were similar to that of Wang's group [40]. In their work, they used the same values of khNMP-water for kh2P-water. According to their calculations (with the data of excess Gibbs free energy reported from Ref. [75]), the values of khNMP-water and kh2P-water at 40 degC are close hence, they assumed that they are also close at 25 degC. They further verified this by measuring the water compositions in the 2P/water and NMP/water when they are in equilibrium with water vapor in the humid air (25 degC, 70% relative humidity) which showed similar values of both binary interactions. Although the similarity between NMP and 2P (Table 1) is quite intriguing in spite of the increased hydrogen bonding of 2P, it was indicated by Aparicio et al. [76], that 2P supposedly favors forming cyclic dimer due to the inter-molecule hydrogen bonding. Instead of forming hydrogen bond with water, it forms a cyclic dimer that weakens its affinity towards water.",n
"In addition, the solvent-polymer interaction (khPSf-2P and khPSf-NMP) also provides a quantitative information on the degree of interaction of polymer and solvent. According to literature [72], if khpolymer-solvent is less than 0.5, the solvent has high affinity towards the polymer, and is considered a good solvent. Conversely, if it is higher than 0.5, it is regarded as a poor solvent. As shown in Tables 2 and 2P is a poorer solvent than NMP therefore, the homogeneous region of PSf/2P/water phase diagram is narrower than PSf/NMP/water. This indicates that it would take less amount of non-solvent (water) to induce demixing in PSf/2P system. The cloud points in Fig. 2 denoted the amount of water needed to demix the system. For PSf/2P system, it takes about 2 wt% of water to phase separate the solution, and as the amount of PSf in the solution is increased, it takes a lesser amount of non-solvent to induce phase-inversion. With this knowledge, we can identify how much non-solvent additive we can add into the casting solution without causing phase-inversion. Another key parameter that must be considered is the relative energy difference (RED) which provides information on whether the parameters of the two molecules (usually a polymer and solvent) are within range. This can be measured according to the following equations [2,77,78]:(5)Ro=(dD2+dP2)0.5-dH(6)Ra2=4(dD,P-dD,S)2+(dP,P-dP,S)2+(dH,P-dH,S)2(7)RED=RaRo",n
"Ro denotes the interaction radius of the polymer, and Ra refers to the solubility parameter distance. The ratio of Ra and Ro tells us that if it is < 1, the polymer is soluble in the chosen solvent, while the opposite transpires if it is > 1, and if the ratio is 1, the polymer can only be partially dissolved in the solvent. The calculated RED of the systems are 0.72, and 0.69 for PSf/2P and PSf/NMP, respectively. Hence, we can confirm that PSf polymer is soluble in 2P, and be can be used as a ""greener"" solvent replacement for NMP.",n
"Fig. 3 shows the comparison of two PSf membranes (having the same concentration) fabricated via NIPS using 2 different solvents. Left-hand figure displays the surface and cross-section morphology of the PSf membrane when NMP was used as a solvent, while the right-hand figure represents the PSf/2P system. Starting with the PSf/NMP system, a dense surface structure was obtained which is consistent with other published works [1,24-27] while, a skinned asymmetric membrane with large finger-like macrovoids extending from the top part to the bottom part of the membranes with walls having cellular-like structure was obtained. In contrast, when 2P was used as a solvent, the surface structure of the PSf membranes have obvious large pores in the microfiltration (MF) range (to be confirmed in sections 3.2 and 3.3). Meanwhile, it appears that the macrovoids were found at the deeper part of the membrane. Zoomed-in images of the membrane reveal that instead of cellular-like structure, 2P solvent generated interconnected pores or bi-continuous structure which is in agreement with the previous studies by Wang et al. [39,40] when 2P is used as a solvent.",n
"Although there are numerous studies tackling phase-inversion of casting solution to form membranes, the concept governing demixing is still tricky to understand. Many studies have suggested that if a solvent has a high affinity or high miscibility with the non-solvent, instantaneous demixing would occur. In other words, the fast exchange between the solvent and non-solvent induces the rapid precipitation of the polymer and formation of the film, within seconds of immersion in the coagulation or non-solvent bath. With this type of demixing, a highly porous cross-section (finger-like macrovoids) is obtained. On the other hand, if the solvent has a low affinity towards the non-solvent, a slow exchange occurs, which decelerates the formation of the film. Membranes with relatively dense top layer and sponge-like substructure are achieved during delayed demixing [4]. However, other studies suggest that instantaneous demixing can help mitigate the formation of macrovoids [79]. With these ambiguities in membrane formation, Hong et al. [39] studied the demixing that transpires during phase separation process.",n
"A homogeneous casting solution can be demixed through nucleation and growth (NG) or spinodal decomposition (SD) depending on the solution composition at which the phase separation occurs [80]. For the demixing to occur via NG, the phase separation composition must lie on the meta-stable or binodal region. Conversely, for SD to happen, the composition path must be found in the unstable or spinodal region. When phase-inversion happens via NG, the resulting morphology consists of nuclei of polymer-poor phase that can grow into macrovoids. Meanwhile, when phase-inversion occurs via SD, the subsequent morphology contains continuous polymer-poor phase but not nuclei type. If the demixing is accompanied by fast solvent and non-solvent exchange, the phase-inversion would typically be via SD, as evidenced by the formation of bi-continuous structure [39].",n
"It was previously stated that NMP has a high affinity towards water hence, one would assume that the exchange of solvent and non-solvent is fast enough to cause SD demixing. However, this claim contradicts our observations in Fig. 3, as cellular-like structures are observed instead of bi-continuous morphology. Meanwhile, 2P has a low miscibility towards water (possible cyclic dimer), so it is expected that phase-inversion would transpire via NG, and poorly interconnected pores on the walls of the macrovoids are to be anticipated. However, the opposite was found on both membranes. To find out why such phenomena were observed, we evaluated the viscosity of both systems as illustrated at the bottom images of Fig. 3. Due to the poorer solvency of PSf in 2P, higher viscosity is attained. For the same concentration (15 wt%), PSf/2P system has 41% higher viscosity than PSf/NMP system. This suggest that the high viscosity of PSf/2P system slowed down the solvent and non-solvent exchange which helped maintain the open porous structure and interconnected pores by mitigating the coarsening process. Conversely, NMP is a good solvent for PSf. Its high affinity for water permitted fast solvent and non-solvent exchanges, while the low viscosity (553 cP) of the system could not prevent coarsening during the phase-inversion process. So, phase-inversion may occur by SD, but the structure is not fixed and can still evolve after phase-separation. As a result, large macrovoids were observed across the membrane with cellular-like structure.",n
"As stated previously, earlier works did not explore the effect of 2P on the surface morphology of PSf membranes via NIPS process. In this study, we found out that by using 2P as solvent, we could easily obtain PSf membranes in the MF range. Normally, NIPS process generates ultrafiltration membranes as a result of the fast solvent and non-solvent exchange that transpires in the coagulation bath which typically results in the formation of a relatively dense top surface also known as skin layer [49,81-84]. Based on the study conducted by Strathmann, asymmetric morphology arises from the steep concentration, and activity gradient of the polymer, solvent and non-solvent. If the affinity of the solvent and non-solvent towards each other is high, as soon as the water is introduced on the surface of the film, the resulting chemical composition at the interface reaches in a short time a value indicating a phase separation has occurred, due to the fast mass transfer kinetics between the solvent and non-solvent. Where in fact, the internal of the film is still very far below the binodal point [85,86]. In order to slow down the exchange at the interface, additives can be introduced into the casting solution to increase its viscosity. That is why researchers commonly incorporate additives such as PEG or PVP to obtain PSf MF. To obtain PSf MF membranes, additives such PEG or PVP are added into the casting solution to increase its viscosity. However, even without additives, PSf/2P system is viscous enough (compared to PSf/NMP) to allow slower mass transfer kinetics during phase-inversion which permitted the formation of porous surface structure as shown in Fig. 4. But it is important to note that the amount of solid content would also influence the viscosity of the solution which could decrease the porosity of the membrane. Hence, it is evident in Fig. 4 that the surface porosity decreases with the polysulfone content (which will be verified later by dedicated measurements).",n
"The preceding results show that by using 2P as a solvent for PSf polymers, membrane with bi-continuous morphology in the entire cross-section can obtained. Having bi-continuous structure would be beneficial for faster permeation unlike cellular-like structure which are closed pores (not interconnected).",n
"In the introduction, we have stated the different ways to suppress macrovoid growth in polymeric membranes. Among these different approaches, adding additives into the casting solution seem to be the easiest and most economical. PVP, PEG, non-solvent, etc., are some of the most used additives to mitigate macrovoid growth. In this study, we chose water as the additive because of its abundancy and availability, cost-effectiveness, and it will not be trapped in the polymer domain (unlike polymeric additives) during the phase-inversion process. Fig. 5 shows the entire cross-section of the different membranes prepared: P8, P10, P12, and P15 which consist of 8, 10, 12 and 15 wt% of PSf in 2P, respectively. The amount of water added into the casting solution was dependent on the cloud point evaluation from Fig. 2, that is to avoid phase-separation of the casting solution. For P8, the amount of DI water was varied from 0 to 1.5 wt%. Meanwhile, for P10 and P12, 0-1.0 wt% of water was added. Lastly, for P12, the concentration of DI water was from 0 to 0.8 wt%. As can be seen below, it is evident that as the concentration of PSf in the casting solution is increased (from P8 to P15), the initiation position of the macrovoid could be found deeper in the cross-section of the membranes. This can be explained by the increase in viscosity of the casting solution, which slowed down the mass transfer kinetics (this will be proven in the next section). After water was added into the casting solution of P8, it was found that the initial position of macrovoid formation appeared deeper in the cross-section of the membrane. Consequently, when more water was added (P8-D1.5), all the macrovoids were suppressed. Similar trends were observed in P8, P12 and P15, as more non-solvent is introduced in the casting solution, complete macrovoid suppression was achieved. In addition, the bi-continuous structure was well maintained in all conditions as evidenced in the SEM images in Fig. 6 which displays the higher magnification of the middle part of the cross-section. Moreover, no skin layer is observable in all PSf membranes as illustrated in Fig. S1. In contrast, it seems that the amount of additive did not directly affect the surface morphology of the membranes (Fig. S2), which all remained highly porous.",n
"It is a known fact that as the amount of solid content in the casting solution is increased, the porosity and pore size of the membranes would decrease. Therefore, a decline in the porosity and pore size of the membranes (P8 > P10 > P12 > P15) is expected, and is proven in Fig. 7. Based on this illustration, the porosity of the pristine membranes gradually decreased from 88% to 76% when the PSf concentration was increased from 8 wt% to 15 wt%. Likewise, the pore size was reduced from 0.65 mm to 0.30 mm. It was also apparent that the incorporation of non-solvent also resulted in a decrease in porosity and pore size of the membranes (in the same PSf concentration). The decrease in porosity of the membranes could be attributed to the disappearance of the large voids across the membranes. However, it is important to note that as the solid content is the same with and without water, we should acknowledge that porosity difference could only be due to the membrane thickness differences (Fig. S3). For a same solid content and a same thickness, the porosity should be the same, regardless of the presence of macrovoids.",n
"The viscosity of the casting solutions holds a vital role in determining the morphology of the membranes [40]. With this, we measured the viscosity of PSf/2P casting solutions and of PSf/2P/water solutions. Since the viscosity of the polymer solution is shear-rate dependent, we report in the following zero-shear viscosity. The solution viscosity logically increased with increasing polymer concentration (Fig. 8). Moreover, the viscosity tended to be low and constant below a certain concentration threshold and then drastically increased. According to polymer solution theory, there is a critical overlap concentration (C*) of polymer coils, which is the crossover concentration between the dilute and the semi-dilute concentration region. If the concentration of the polymer is below C*, the polymer clusters are segregated from each other, and it is commonly referred to as dilute regime. On the other hand, if the concentration is above C*, the solution becomes entangled as a result of the overlap between adjacent macromolecular coils. The concentration of the polymer at which the onset of significant entanglement occurs is pertained to as critical entanglement concentration (Ce), and it is within the semi-dilute entangled regime [87,88]. PSf is predominantly hydrophobic due to the large presence of aryl groups. When water is added into the system, the PSf chains will be oriented in a way that the hydrophilic segments, sulfonyl and ether groups, are exposed which was induced by hydrophobic hydration [89]. This phenomenon triggers the aryl groups to be ""coiled up or hidden"" to decrease the enthalpy of the system creating spots of cohesion entanglement among the PSf chains (as shown in the insets of Fig. 8). Moreover, as stated in the previous studies of Kahrs and Schellenbach [38], Wang et al. [39,40], Mousavi and Zadhoush [41], and Mousavi et al. [42], the addition of water into the casting solution could lead to interchain hydrogen bonding which can result in increased which can result in decreased solvent power and aggregation of the macromolecules which then induces the viscosity of the system to be enhanced. Therefore, as more water is added into the casting solution, more points of entanglement among the polymer chains are created causing the viscosity to be enhanced.",n
"By taking the straight lines used to fit the curves of the log-log plot of the zero-shear viscosity and PSf concentration (Fig. 9), we were able to determine the critical overlap concentration and the critical entanglement concentration of the casting solutions without additive, and with 0.5 wt% and 1.0 wt% water. In Fig. 9a, in which no additive was additive into the casting solutions, we determined that the C* is 9.7 wt%, and no onset of entanglement occurred from 2 wt% to 18 wt% (it is probable that Ce would occur at higher concentrations). However, when 0.5 wt% and 1.0 wt% of water were added into the casting solution, 2 things could be observed: (1) critical chain entanglement ensued; and (2) both values of C* and Ce decreased with increasing amount of additive added. Correlating these values with the SEM from Fig. 5, we can infer that the addition of water has caused the onset of chain entanglement which evidently increased the viscosity which aided in the mitigation of macrovoid growth. Also, when the polymer concentration in the casting solution is higher than the critical chain entanglement, the initiation position of macrovoids shifted to somewhere below the membrane surface. Conversely, when there is no chain entanglement (PSf-D0), macrovoids are present along the cross-section of the membrane. In addition, when more non-solvent additive is added into the casting solution, the entanglement concentration was found to decrease (increased chain entanglement), suggesting that for a much lower polymer concentration, we can fine-tune the substructure of the membrane. This can provide positive impacts in terms of fabricating membranes at a more cost-effective approach.",n
"Aside from this, we have also analyzed the viscoelastic properties of the casting solution and how it is being influenced by the addition of water. Fig. S4 presents the graph of the storage modulus (G') and loss modulus (G'') as a function of angular frequency. The storage modulus is a measure of the elasticity of the solution and pertains to its ability to store energy. On the other hand, the loss modulus is a measure of the viscosity of the solution and pertains to its ability to dissipate. If G'' > G' the system behaves like a liquid while if the G'' < G' behaves like a gel [87]. Based on Fig. S4, all the systems exhibit a viscous behavior. When water is added, both G' and G'' visibly increased which can be attributed to the enhanced viscosity induced by the hydrogen bonding and subsequent chain entanglement [41].",n
"Aside from probing into the thermodynamics and viscosity of the PSf/2P/water system, it is also essential to investigate the kinetics of the phase-inversion process. We observed the movement of the phase separation front of the casting solutions with varying concentrations of polysulfone under an optical microscope as depicted in Fig. 10. As it was pointed out in the previous sections of this work, higher viscosity could slow down the kinetics of the mass transfer hence, when the concentration of PSf was increased from 8 wt% to 15 wt%, it was clear that it took the non-solvent a longer time to traverse the P15 system.",n
"In fact, when comparing the position of the diffusion front as a function of time for different concentration of PSf in 2P without additives as illustrated in Fig. 11a, after 120 s of phase inversion, the non-solvent travelled a distance of 0.45 mm, 0.32 mm, 0.30 mm, 0.25 mm for P8, P10, P12 and P15, respectively. Meanwhile, Fig. 11b presents the related diffusion distance vs. square root of time plot.",n
"Assuming that the dark ridges found after the interface corresponds to the initial diffusion position of water, then the diffusivity of water in the system (Dw/s) can be determined based on the equation proposed by Strathmann et al. [61].(2b)d2=4(Dw/set)(1-CW1+CW)twhere d denotes the diffusion distance, e/t represents a geometrical factor for the porosity and tortuosity of the membrane being formed, CW is the water concentration at the interface between the non-solvent and the polymeric system, t pertains to time.",n
"Under the supposition that the concentration of water in the solution at the point of precipitation is small relative to unity so, equation (2b) can be simplified to the following expression (equation (3b)) to determine the effective diffusivity De. This De contains the geometrical correction factor e/t.(3b)d=2(Det)0.5",n
"With the above expression, the calculated effective diffusivity of water in P8, P10, P12 and P15 are 3.23 x 10-4, 2.60 x 10-4, 2.51 x 10-4 and 2.08 x 10-4 mm2/s, respectively. Thus, verifying our previous claim that with higher viscosity, kinetics of mass transfer was evidently slowed down.",n
"Next, the kinetics of non-solvent (water) in the PSf/2P/water casting solutions were examined and presented in Fig. 12. In P8 system, no significant trend was seen which could be attributed to the considerably lower viscosity of the system. Moreover, due to the low polymer concentration (8 wt%), the position of the system lies close to the binodal line, which makes it easier to become thermodynamically unstable. On the other hand, in P10 - P15 systems, it was evident that there is an increasing trend in the non-solvent kinetics when the amount of additive was increased. This was then further verified by calculating the diffusion rates of the non-solvent as presented in Fig. 13.",n
